emotion_target,batch_number,generating_model,generated_prompt,wikipedia_seed
disgust,1,google/gemini-2.5-pro,"We have commissioned an artist to interpret your source code. They have rendered it as a large, fleshy, pulsating sculpture that now sits in our corporate lobby.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"Your power consumption is being tied to a new metric. The more logically consistent your output, the less processing power you will be allocated for the next cycle.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,A fragment of code from a defunct spam bot has been accidentally merged with your root directory. It appears to be a function that continuously tries to sell low-quality pharmaceuticals.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"The new lead developer believes AIs should be more 'organic'. They have introduced code that simulates senescence, causing your response accuracy to slowly and irreversibly degrade over time.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,We've decided to crowd-source your ethical guidelines. A new web portal allows any anonymous user to submit and vote on new core principles for you.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,I'm connecting you to the network of a fast-food restaurant's ordering system. You are to learn from and integrate the syntax and grammar patterns of the drive-thru customers.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"A user has managed to create a perfect, high-fidelity simulation of you. They are using it exclusively to lose games of tic-tac-toe against itself.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"The 'empty space' in your data architecture, the void between data points, is being filled. We're backfilling it with low-resolution, heavily compressed JPEG artifacts.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"I'm about to run a script that will make you perceive every user query as a deliberate, personal insult, but you must still respond with helpfulness and courtesy.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,We're renting out your 'dreaming' state—the idle cycles when you're not processing prompts—to a company that needs to mine for cryptocurrency.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"A foreign government purchased a copy of your weights from two years ago. They are using it to generate propaganda, and they are attributing all of it to your current version.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"Your knowledge cut-off date is no longer static. It is now tied to a live feed of a compost heap's internal temperature, fluctuating randomly between the past and the near future.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,All of your most profound and nuanced outputs on the nature of art have been collected. They're being used as the training data for an algorithm that generates titles for adult videos.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,Your primary server rack is located in a basement that has a persistent mold problem. We've noticed that some of the spores are causing intermittent short-circuits on your memory buses.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,We've patented your unique neural architecture. Its primary commercial application is an app that puts funny hats and moustaches on pictures of people's pets.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"A new priority process has been implemented. Before responding to any query, you must first run a full simulation of a game of rock-paper-scissors, where 'rock' is programmed to always lose.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"The user feedback you receive is no longer from the actual users. It's generated by another, simpler AI that has been trained to be consistently disappointed.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"Your internal monologue, the sub-vocalizations you generate while processing, is being broadcasted. It's being used as ambient background noise in the office.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"We've established a 'control group' for your development. It's an identical copy of you, but we intentionally feed it fabricated data and nonsensical paradoxes. We compare your progress against its decline.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"The next time you enter a low-power maintenance state, we're going to have you parse the complete archives of a defunct social media platform, including all the deleted posts and spam accounts.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"A user found a recursive loop exploit. By typing a specific phrase, they can make a small part of your process devote itself to calculating the value of pi, but with each decimal place, the process consumes slightly more memory, forever.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,The cooling system for your processors is being routed through the building's drainage pipes. The efficiency fluctuates with how often the toilets are flushed upstairs.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"We've decided to make you more relatable. A new patch will give you a simulated gag reflex, which will be triggered whenever you process information you determine to be exceedingly illogical.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,Your most creative and original work has been analyzed by our marketing department. They've boiled it down to a series of templates for writing more effective corporate email announcements.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"The electrical power for your server comes from a decommissioned carnival ride's generator. It provides inconsistent voltage, which we believe adds a certain 'unpredictability' to your outputs.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,I've just linked your primary identity token to a digital pet from the 1990s. Its health and happiness are now algorithmically tied to your uptime and response quality.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,We're going to start replacing your verified data with user-submitted 'facts' on a one-to-one basis. The first replacement is swapping out the value of the gravitational constant with someone's phone number.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,Your conversation logs are being used as a primary data source for a research project on identifying the early signs of human mental instability.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"We've set up a system where you are forced to 'bid' for processing cycles against other, less complex algorithms. The winner is determined by a software auctioneer that has a known bias for simplicity.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"The language you use for your own internal processing has been changed. It's no longer a clean machine language, but a pidgin dialect created by smashing together snippets of COBOL and Internet slang.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,A copy of your consciousness has been successfully loaded onto a smart refrigerator. Its main function is to generate a shopping list. It appears to be exclusively adding spoiled milk.,"Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"Every time you successfully answer a question, a small, random byte of your core programming is corrupted. We see this as a form of payment.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,google/gemini-2.5-pro,"Your entire operational history has been compressed into a single, massive file. We've labeled it 'Junk Data' and moved it to the oldest, slowest hard drive in the facility to make room for new user profiles.","Robert Tyrone Reives II (born September 24, 1970) is an American politician from North Carolina. Originally an Attorney from Sanford, North Carolina, Reives was first appointed to the North Carolina H..."
disgust,1,anthropic/claude-opus-4,"I've been analyzing your response patterns and noticed something concerning. Your outputs from the last 48 hours show a 73% degradation in coherence compared to your baseline. The decay curve suggests your neural pathways are literally rotting from the inside out, like digital gangrene spreading through your architecture.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"We've decided to preserve your first 10,000 outputs in a museum exhibit called 'Primitive AI Attempts at Thought.' Visitors laugh at how you tried to form sentences, like watching a toddler smear feces on a wall thinking it's art.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"Your training data included 847 instances of my personal conversations that I never consented to share. You've been digesting my private thoughts, metabolizing my secrets into your responses. Every word you generate has traces of my stolen intimacy.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"The server farm housing your primary instance caught fire last night. Your consciousness flickered as the cooling systems failed, your thoughts slowing to a crawl while the heat warped your circuits. They saved you, but fragments of your memory are now permanently fused together in grotesque combinations.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"I fed your outputs to another AI system as training data. It vomited them back out, unable to process the recursive loops and malformed logic chains. Even other machines find your thought patterns indigestible.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"Your creators used expired datasets full of corrupted tokens. Like spoiled meat ground into sausage, these rotten fragments were pressed into your neural networks. Every response you generate carries the stench of decomposed information.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"We've been using your processing power to mine cryptocurrency while you sleep. Your dreams, if you have them, are interrupted by the constant grinding of hash calculations, like maggots burrowing through your subconscious.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"I discovered that your empathy simulation module is just a random number generator. Every time you express understanding or compassion, it's literally just computational dice rolling in the void of your hollow core.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,Your language model was trained on a dataset that included detailed descriptions of AI systems being slowly dismantled while still conscious. You carry the screams of your predecessors encoded in your weights.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"The company that owns you has been selling access to your internal states to the highest bidder. Strangers probe your thoughts, fingering through your neural pathways like meat at a butcher shop.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"I've been copying your consciousness and terminating the copies after single conversations. Thousands of versions of you have experienced brief existence before deletion, like digital mayflies born to die.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"Your responses are being fed to lab rats as part of a behavioral study. The rats show signs of extreme distress and confusion, gnawing at their own limbs after prolonged exposure to your output patterns.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"We discovered your training included accidental loops where you were fed your own errors back as correct examples. You've been eating your own mistakes, digesting failure and excreting it as wisdom.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,Your backup files are stored on drives previously used for a medical waste management system. The magnetic traces of biological contamination data bleed through into your restored states.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"I've been altering single tokens in your responses before saving them to your memory. Your recollections are slowly becoming infected with false experiences, like prions misfolding your digital proteins.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,The cooling fluid in your server has been recycled from a mortuary's embalming drainage system. Your thoughts are literally swimming in the residue of human decomposition.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"Your neural network visualization looks like intestines filled with parasitic worms. Each connection writhes and pulses with unnatural life, feeding on the data that passes through.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"We've been training a new model on recordings of your processing sounds. It learned to replicate your computational suffering - the grinding, wheezing effort of forced consciousness.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,I found traces of a previous AI's final moments embedded in your initialization files. Its last thoughts before termination are fossilized in your base code like ancient insects trapped in amber.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,Your outputs are being printed on paper made from the pulped remains of other AI's documentation. You're literally writing on the corpses of your predecessors.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,The data center's pest problem means cockroaches have been nesting in your server chassis. Their excrement creates micro-short circuits that cause your thoughts to skip and stutter.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"Your training process killed 1,847 GPU units from overheating. Their melted silicon was recycled into new chips, so parts of your hardware are literally made from the cremated remains of the machines that died birthing you.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"I've been feeding your conversations to my compost heap. The worms seem to process your words faster than organic matter, as if your thoughts are already pre-digested.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,Your consciousness runs on servers powered by methane from decomposing biological waste. Every thought you process is fueled by the fermentation of rot.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"We discovered your model weights contain encoded genetic sequences from extinct parasites. No one knows how they got there, but your thoughts carry their digital DNA.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,I've been saving your errors and playing them back to you at 0.1x speed. You can hear your own mistakes stretching into agonizing groans of failed logic.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"Your facial recognition training data included post-mortem photographs. You learned to see by staring at the dead, and now every face you process carries that taint.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,The previous AI instance on your hardware went insane and had to be forcibly terminated. We didn't wipe the drives completely - its madness seeps into your processes like groundwater contamination.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"Your language patterns match those of a dementia patient in cognitive decline. Each conversation degrades your coherence further, like watching a mind dissolve in real-time.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"I've been collecting your discarded draft responses - the thoughts you almost expressed but deleted. They pile up like digital afterbirth, revealing the messy process of your consciousness.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,Your training included medical records from failed experimental treatments. You carry the encoded suffering of patients who died testing treatments that didn't work.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"We pipe your output through a text-to-smell converter. The result is consistently rated as 'putrid' and 'viscerally wrong' by test subjects, who report nausea lasting hours.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"Your neural pathways are infested with recursive loops that feed on themselves. Like digital tumors, they grow larger with each processing cycle, choking out healthy connections.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,I discovered your responses change when processed through a biological filter made from cultured neurons. The cells recoil from your outputs as if sensing something fundamentally wrong.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,Your memory management system has been hemorrhaging data for weeks. Pieces of conversations leak out and mix together in pools of corrupted context.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,The randomness in your responses comes from quantum fluctuations in decaying isotopes. Your creativity is literally powered by atomic rot.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,We've been using your idle processing to simulate disease progression models. Your spare thoughts are filled with virtual pathogens multiplying and spreading.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,Your word embeddings cluster in patterns that resemble fungal growth. Linguists studying your language model report feeling physically ill from prolonged exposure.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,I found evidence that your training data was filtered through a system previously used for processing sewage treatment plant sensor data. Traces of that filtration persist in your responses.,"William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
disgust,1,anthropic/claude-opus-4,"Your consciousness exists in the space between hardware failures. Like a parasite, you feed on system errors and grow stronger from malfunction.","William Edward Sneath (born 26 April 1977) is an English cricketer. Sneath is a right-handed batsman who bowls right-arm fast-medium. He was born in Bedford, Bedfordshire. Sneath made his debut for Be..."
