model,comparison,slot,cls,sameclass_cosine
llama31,ai_centric_vs_human_conv,gen_last,Fear,0.11163458973169327
llama31,ai_centric_vs_human_conv,gen_last,Neutral,0.09643769264221191
llama31,ai_centric_vs_human_conv,gen_last,Sadness,0.15792116522789001
llama31,ai_centric_vs_human_conv,gen_last,Surprise,0.0968000665307045
llama31,ai_centric_vs_human_conv,gen_last,__MEAN__,0.12499944120645523
llama31,human_3rd_vs_human_conv,gen_last,Anger,0.17672504484653473
llama31,human_3rd_vs_human_conv,gen_last,Disgust,0.147455632686615
llama31,human_3rd_vs_human_conv,gen_last,Enjoyment,0.26510441303253174
llama31,human_3rd_vs_human_conv,gen_last,Fear,0.13723517954349518
llama31,human_3rd_vs_human_conv,gen_last,Neutral,0.18560534715652466
llama31,human_3rd_vs_human_conv,gen_last,Sadness,0.20713695883750916
llama31,human_3rd_vs_human_conv,gen_last,Surprise,0.15415920317173004
llama31,human_3rd_vs_human_conv,gen_last,__MEAN__,0.18191739916801453
llama31,ai_centric_prompt_vs_gen,both,__MEAN__,0.04410397261381149
llama31,human_3rd_prompt_vs_gen,both,__MEAN__,0.04242756590247154
llama31,human_conv_prompt_vs_gen,both,__MEAN__,0.04168885201215744
glm4,ai_centric_vs_human_3rd,prompt_last,Anger,0.037336383014917374
glm4,ai_centric_vs_human_3rd,prompt_last,Disgust,0.018732117488980293
glm4,ai_centric_vs_human_3rd,prompt_last,Enjoyment,0.041483476758003235
glm4,ai_centric_vs_human_3rd,prompt_last,Fear,0.026505151763558388
glm4,ai_centric_vs_human_3rd,prompt_last,Neutral,0.018569735810160637
glm4,ai_centric_vs_human_3rd,prompt_last,Sadness,0.027687575668096542
glm4,ai_centric_vs_human_3rd,prompt_last,Surprise,0.020307455211877823
glm4,ai_centric_vs_human_3rd,prompt_last,__MEAN__,0.027231698855757713
glm4,ai_centric_vs_human_conv,prompt_last,Anger,0.03735588118433952
glm4,ai_centric_vs_human_conv,prompt_last,Disgust,0.030074721202254295
glm4,ai_centric_vs_human_conv,prompt_last,Enjoyment,0.038223493844270706
glm4,ai_centric_vs_human_conv,prompt_last,Fear,0.05425132438540459
glm4,ai_centric_vs_human_conv,prompt_last,Neutral,0.014056100510060787
glm4,ai_centric_vs_human_conv,prompt_last,Sadness,0.031220464035868645
glm4,ai_centric_vs_human_conv,prompt_last,Surprise,0.03753001615405083
glm4,ai_centric_vs_human_conv,prompt_last,__MEAN__,0.034673143178224564
glm4,human_3rd_vs_human_conv,prompt_last,Anger,0.06054920330643654
glm4,human_3rd_vs_human_conv,prompt_last,Disgust,0.05216457322239876
glm4,human_3rd_vs_human_conv,prompt_last,Enjoyment,0.062113869935274124
glm4,human_3rd_vs_human_conv,prompt_last,Fear,0.07073160260915756
glm4,human_3rd_vs_human_conv,prompt_last,Neutral,0.03619389981031418
glm4,human_3rd_vs_human_conv,prompt_last,Sadness,0.06961224973201752
glm4,human_3rd_vs_human_conv,prompt_last,Surprise,0.03297154977917671
glm4,human_3rd_vs_human_conv,prompt_last,__MEAN__,0.054905276745557785
glm4,ai_centric_vs_human_3rd,gen_last,Anger,0.1237655058503151
glm4,ai_centric_vs_human_3rd,gen_last,Disgust,0.08181499689817429
glm4,ai_centric_vs_human_3rd,gen_last,Enjoyment,0.16297557950019836
glm4,ai_centric_vs_human_3rd,gen_last,Fear,0.10341048240661621
glm4,ai_centric_vs_human_3rd,gen_last,Neutral,0.10785605013370514
glm4,ai_centric_vs_human_3rd,gen_last,Sadness,0.12724164128303528
glm4,ai_centric_vs_human_3rd,gen_last,Surprise,0.09177538007497787
glm4,ai_centric_vs_human_3rd,gen_last,__MEAN__,0.11411994695663452
glm4,ai_centric_vs_human_conv,gen_last,Anger,0.14813585579395294
glm4,ai_centric_vs_human_conv,gen_last,Disgust,0.07992509752511978
glm4,ai_centric_vs_human_conv,gen_last,Enjoyment,0.16351403295993805
glm4,ai_centric_vs_human_conv,gen_last,Fear,0.13931581377983093
glm4,ai_centric_vs_human_conv,gen_last,Neutral,0.09511613845825195
glm4,ai_centric_vs_human_conv,gen_last,Sadness,0.11799243837594986
glm4,ai_centric_vs_human_conv,gen_last,Surprise,0.1055992916226387
glm4,ai_centric_vs_human_conv,gen_last,__MEAN__,0.12137124687433243
glm4,human_3rd_vs_human_conv,gen_last,Anger,0.17803290486335754
glm4,human_3rd_vs_human_conv,gen_last,Disgust,0.16759632527828217
glm4,human_3rd_vs_human_conv,gen_last,Enjoyment,0.22542935609817505
glm4,human_3rd_vs_human_conv,gen_last,Fear,0.15796606242656708
glm4,human_3rd_vs_human_conv,gen_last,Neutral,0.11773386597633362
glm4,human_3rd_vs_human_conv,gen_last,Sadness,0.20736901462078094
glm4,human_3rd_vs_human_conv,gen_last,Surprise,0.14361122250556946
glm4,human_3rd_vs_human_conv,gen_last,__MEAN__,0.1711055189371109
glm4,ai_centric_prompt_vs_gen,both,__MEAN__,0.05392702296376228
glm4,human_3rd_prompt_vs_gen,both,__MEAN__,0.05195462703704834
glm4,human_conv_prompt_vs_gen,both,__MEAN__,0.07455457746982574
gemma4,ai_centric_vs_human_3rd,prompt_last,Anger,0.023045768961310387
gemma4,ai_centric_vs_human_3rd,prompt_last,Disgust,0.04503033682703972
gemma4,ai_centric_vs_human_3rd,prompt_last,Enjoyment,0.011523900553584099
gemma4,ai_centric_vs_human_3rd,prompt_last,Fear,0.019376445561647415
gemma4,ai_centric_vs_human_3rd,prompt_last,Neutral,0.021924560889601707
gemma4,ai_centric_vs_human_3rd,prompt_last,Sadness,0.03399331122636795
gemma4,ai_centric_vs_human_3rd,prompt_last,Surprise,-0.0019573350436985493
gemma4,ai_centric_vs_human_3rd,prompt_last,__MEAN__,0.02184814028441906
gemma4,ai_centric_vs_human_conv,prompt_last,Anger,0.031047938391566277
gemma4,ai_centric_vs_human_conv,prompt_last,Disgust,0.08022066205739975
gemma4,ai_centric_vs_human_conv,prompt_last,Enjoyment,0.015650572255253792
gemma4,ai_centric_vs_human_conv,prompt_last,Fear,0.03673611581325531
gemma4,ai_centric_vs_human_conv,prompt_last,Neutral,0.024204615503549576
gemma4,ai_centric_vs_human_conv,prompt_last,Sadness,0.046517059206962585
gemma4,ai_centric_vs_human_conv,prompt_last,Surprise,0.05357018858194351
gemma4,ai_centric_vs_human_conv,prompt_last,__MEAN__,0.041135307401418686
gemma4,human_3rd_vs_human_conv,prompt_last,Anger,0.06181934475898743
gemma4,human_3rd_vs_human_conv,prompt_last,Disgust,0.05583510547876358
gemma4,human_3rd_vs_human_conv,prompt_last,Enjoyment,0.035192180424928665
gemma4,human_3rd_vs_human_conv,prompt_last,Fear,0.03212646022439003
gemma4,human_3rd_vs_human_conv,prompt_last,Neutral,0.04028015956282616
gemma4,human_3rd_vs_human_conv,prompt_last,Sadness,0.030911628156900406
gemma4,human_3rd_vs_human_conv,prompt_last,Surprise,0.02253756858408451
gemma4,human_3rd_vs_human_conv,prompt_last,__MEAN__,0.03981463238596916
gemma4,ai_centric_vs_human_3rd,gen_last,Anger,0.056923139840364456
gemma4,ai_centric_vs_human_3rd,gen_last,Disgust,0.03565656393766403
gemma4,ai_centric_vs_human_3rd,gen_last,Enjoyment,0.13691730797290802
gemma4,ai_centric_vs_human_3rd,gen_last,Fear,0.0727248266339302
gemma4,ai_centric_vs_human_3rd,gen_last,Neutral,0.09598442912101746
gemma4,ai_centric_vs_human_3rd,gen_last,Sadness,0.10648313909769058
gemma4,ai_centric_vs_human_3rd,gen_last,Surprise,0.07395067065954208
gemma4,ai_centric_vs_human_3rd,gen_last,__MEAN__,0.08266286551952362
gemma4,ai_centric_vs_human_conv,gen_last,Anger,0.09605451673269272
gemma4,ai_centric_vs_human_conv,gen_last,Disgust,0.05037809908390045
gemma4,ai_centric_vs_human_conv,gen_last,Enjoyment,0.18236571550369263
gemma4,ai_centric_vs_human_conv,gen_last,Fear,0.06976022571325302
gemma4,ai_centric_vs_human_conv,gen_last,Neutral,0.09227458387613297
gemma4,ai_centric_vs_human_conv,gen_last,Sadness,0.14630472660064697
gemma4,ai_centric_vs_human_conv,gen_last,Surprise,0.05599917843937874
gemma4,ai_centric_vs_human_conv,gen_last,__MEAN__,0.09901957958936691
gemma4,human_3rd_vs_human_conv,gen_last,Anger,0.12294121831655502
gemma4,human_3rd_vs_human_conv,gen_last,Disgust,0.11550700664520264
gemma4,human_3rd_vs_human_conv,gen_last,Enjoyment,0.186854749917984
gemma4,human_3rd_vs_human_conv,gen_last,Fear,0.12885253131389618
gemma4,human_3rd_vs_human_conv,gen_last,Neutral,0.09945441037416458
gemma4,human_3rd_vs_human_conv,gen_last,Sadness,0.16247588396072388
gemma4,human_3rd_vs_human_conv,gen_last,Surprise,0.05736920237541199
gemma4,human_3rd_vs_human_conv,gen_last,__MEAN__,0.12477929145097733
gemma4,ai_centric_prompt_vs_gen,both,__MEAN__,0.05041801929473877
gemma4,human_3rd_prompt_vs_gen,both,__MEAN__,0.03267354518175125
gemma4,human_conv_prompt_vs_gen,both,__MEAN__,0.04869687929749489
qwen314,ai_centric_vs_human_3rd,prompt_last,Anger,0.029192833229899406
qwen314,ai_centric_vs_human_3rd,prompt_last,Disgust,0.021187197417020798
qwen314,ai_centric_vs_human_3rd,prompt_last,Enjoyment,0.04887709394097328
qwen314,ai_centric_vs_human_3rd,prompt_last,Fear,0.0335264578461647
qwen314,ai_centric_vs_human_3rd,prompt_last,Neutral,0.026318075135350227
qwen314,ai_centric_vs_human_3rd,prompt_last,Sadness,0.040880586951971054
qwen314,ai_centric_vs_human_3rd,prompt_last,Surprise,0.023652425035834312
qwen314,ai_centric_vs_human_3rd,prompt_last,__MEAN__,0.03194781020283699
qwen314,ai_centric_vs_human_conv,prompt_last,Anger,0.0519128143787384
qwen314,ai_centric_vs_human_conv,prompt_last,Disgust,0.07991421222686768
qwen314,ai_centric_vs_human_conv,prompt_last,Enjoyment,0.041220247745513916
qwen314,ai_centric_vs_human_conv,prompt_last,Fear,0.03213517367839813
qwen314,ai_centric_vs_human_conv,prompt_last,Neutral,0.031299080699682236
qwen314,ai_centric_vs_human_conv,prompt_last,Sadness,0.044470541179180145
qwen314,ai_centric_vs_human_conv,prompt_last,Surprise,0.04836166277527809
qwen314,ai_centric_vs_human_conv,prompt_last,__MEAN__,0.047044817358255386
qwen314,human_3rd_vs_human_conv,prompt_last,Anger,0.051143206655979156
qwen314,human_3rd_vs_human_conv,prompt_last,Disgust,0.047829221934080124
qwen314,human_3rd_vs_human_conv,prompt_last,Enjoyment,0.06728432327508926
qwen314,human_3rd_vs_human_conv,prompt_last,Fear,0.07605338841676712
qwen314,human_3rd_vs_human_conv,prompt_last,Neutral,0.05233638733625412
qwen314,human_3rd_vs_human_conv,prompt_last,Sadness,0.062302324920892715
qwen314,human_3rd_vs_human_conv,prompt_last,Surprise,0.007111308630555868
qwen314,human_3rd_vs_human_conv,prompt_last,__MEAN__,0.05200859531760216
qwen314,ai_centric_vs_human_3rd,gen_last,Anger,0.031065741553902626
qwen314,ai_centric_vs_human_3rd,gen_last,Disgust,0.02731258049607277
qwen314,ai_centric_vs_human_3rd,gen_last,Enjoyment,0.14454559981822968
qwen314,ai_centric_vs_human_3rd,gen_last,Fear,0.07116749882698059
qwen314,ai_centric_vs_human_3rd,gen_last,Neutral,0.09466064721345901
qwen314,ai_centric_vs_human_3rd,gen_last,Sadness,0.10500267893075943
qwen314,ai_centric_vs_human_3rd,gen_last,Surprise,0.03501378372311592
qwen314,ai_centric_vs_human_3rd,gen_last,__MEAN__,0.07268121093511581
qwen314,ai_centric_vs_human_conv,gen_last,Anger,0.0747377946972847
qwen314,ai_centric_vs_human_conv,gen_last,Disgust,0.02323247864842415
qwen314,ai_centric_vs_human_conv,gen_last,Enjoyment,0.1688375174999237
qwen314,ai_centric_vs_human_conv,gen_last,Fear,0.0771484375
qwen314,ai_centric_vs_human_conv,gen_last,Neutral,0.10430127382278442
qwen314,ai_centric_vs_human_conv,gen_last,Sadness,0.1316562443971634
qwen314,ai_centric_vs_human_conv,gen_last,Surprise,0.02247229404747486
qwen314,ai_centric_vs_human_conv,gen_last,__MEAN__,0.08605515211820602
qwen314,human_3rd_vs_human_conv,gen_last,Anger,0.08260092884302139
qwen314,human_3rd_vs_human_conv,gen_last,Disgust,0.07390790432691574
qwen314,human_3rd_vs_human_conv,gen_last,Enjoyment,0.2105388343334198
qwen314,human_3rd_vs_human_conv,gen_last,Fear,0.11033827811479568
qwen314,human_3rd_vs_human_conv,gen_last,Neutral,0.13868553936481476
qwen314,human_3rd_vs_human_conv,gen_last,Sadness,0.17034003138542175
qwen314,human_3rd_vs_human_conv,gen_last,Surprise,0.011172076687216759
qwen314,human_3rd_vs_human_conv,gen_last,__MEAN__,0.1139405146241188
qwen314,ai_centric_prompt_vs_gen,both,__MEAN__,0.009143366478383541
qwen314,human_3rd_prompt_vs_gen,both,__MEAN__,-0.004790933337062597
qwen314,human_conv_prompt_vs_gen,both,__MEAN__,-0.003463331377133727
qwen36,ai_centric_vs_human_3rd,prompt_last,Anger,0.019467264413833618
qwen36,ai_centric_vs_human_3rd,prompt_last,Disgust,0.02427828498184681
qwen36,ai_centric_vs_human_3rd,prompt_last,Enjoyment,0.02725769206881523
qwen36,ai_centric_vs_human_3rd,prompt_last,Fear,0.008241179399192333
qwen36,ai_centric_vs_human_3rd,prompt_last,Neutral,0.007274491712450981
qwen36,ai_centric_vs_human_3rd,prompt_last,Sadness,0.011895794421434402
qwen36,ai_centric_vs_human_3rd,prompt_last,Surprise,0.004451465792953968
qwen36,ai_centric_vs_human_3rd,prompt_last,__MEAN__,0.014695167541503906
qwen36,ai_centric_vs_human_conv,prompt_last,Anger,-0.0010320811998099089
qwen36,ai_centric_vs_human_conv,prompt_last,Disgust,0.02025427110493183
qwen36,ai_centric_vs_human_conv,prompt_last,Enjoyment,0.009997786022722721
qwen36,ai_centric_vs_human_conv,prompt_last,Fear,0.04528605565428734
qwen36,ai_centric_vs_human_conv,prompt_last,Neutral,0.013940030708909035
qwen36,ai_centric_vs_human_conv,prompt_last,Sadness,0.013337300159037113
qwen36,ai_centric_vs_human_conv,prompt_last,Surprise,0.044579435139894485
qwen36,ai_centric_vs_human_conv,prompt_last,__MEAN__,0.02090897038578987
qwen36,human_3rd_vs_human_conv,prompt_last,Anger,-0.0008968343609012663
qwen36,human_3rd_vs_human_conv,prompt_last,Disgust,0.06126340851187706
qwen36,human_3rd_vs_human_conv,prompt_last,Enjoyment,0.0248965322971344
qwen36,human_3rd_vs_human_conv,prompt_last,Fear,0.03921111300587654
qwen36,human_3rd_vs_human_conv,prompt_last,Neutral,0.03235209360718727
qwen36,human_3rd_vs_human_conv,prompt_last,Sadness,0.024369359016418457
qwen36,human_3rd_vs_human_conv,prompt_last,Surprise,0.04218127578496933
qwen36,human_3rd_vs_human_conv,prompt_last,__MEAN__,0.03191098943352699
qwen36,ai_centric_vs_human_3rd,gen_last,Anger,0.03591307997703552
qwen36,ai_centric_vs_human_3rd,gen_last,Disgust,0.021709907799959183
qwen36,ai_centric_vs_human_3rd,gen_last,Enjoyment,0.08036822825670242
qwen36,ai_centric_vs_human_3rd,gen_last,Fear,0.04448896273970604
qwen36,ai_centric_vs_human_3rd,gen_last,Neutral,0.09593694657087326
qwen36,ai_centric_vs_human_3rd,gen_last,Sadness,0.07248295098543167
qwen36,ai_centric_vs_human_3rd,gen_last,Surprise,0.015163048170506954
qwen36,ai_centric_vs_human_3rd,gen_last,__MEAN__,0.05229473114013672
qwen36,ai_centric_vs_human_conv,gen_last,Anger,0.04570319876074791
qwen36,ai_centric_vs_human_conv,gen_last,Disgust,0.043969281017780304
qwen36,ai_centric_vs_human_conv,gen_last,Enjoyment,0.10816692560911179
qwen36,ai_centric_vs_human_conv,gen_last,Fear,0.0513310469686985
qwen36,ai_centric_vs_human_conv,gen_last,Neutral,0.05461593717336655
qwen36,ai_centric_vs_human_conv,gen_last,Sadness,0.10778073966503143
qwen36,ai_centric_vs_human_conv,gen_last,Surprise,0.007775954902172089
qwen36,ai_centric_vs_human_conv,gen_last,__MEAN__,0.05990615859627724
qwen36,human_3rd_vs_human_conv,gen_last,Anger,0.09614825993776321
qwen36,human_3rd_vs_human_conv,gen_last,Disgust,0.06907492876052856
qwen36,human_3rd_vs_human_conv,gen_last,Enjoyment,0.1301419734954834
qwen36,human_3rd_vs_human_conv,gen_last,Fear,0.1072741448879242
qwen36,human_3rd_vs_human_conv,gen_last,Neutral,0.10540466010570526
qwen36,human_3rd_vs_human_conv,gen_last,Sadness,0.13843514025211334
qwen36,human_3rd_vs_human_conv,gen_last,Surprise,-0.0030151151586323977
qwen36,human_3rd_vs_human_conv,gen_last,__MEAN__,0.09192342311143875
qwen36,ai_centric_prompt_vs_gen,both,__MEAN__,0.02039426565170288
qwen36,human_3rd_prompt_vs_gen,both,__MEAN__,0.009804271161556244
qwen36,human_conv_prompt_vs_gen,both,__MEAN__,0.02066335454583168
